證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
057838,台郡國泰99購01,"612,000",7,"545,440",0.88,0.90,0.71,0.71,-,0.16,0.70,10,0.71,8,94.00,
057839,台積電富邦9A購02,0,0,0,--,--,--,--, ,0.0,0.19,4,0.20,125,276.50,
05783P,嘉澤元富96售01,"127,000",27,"323,760",2.35,2.89,2.31,2.78,+,0.29,3.04,25,--,0,0.00,
057840,健策富邦99購01,"380,000",4,"31,900",0.09,0.09,0.08,0.08,-,0.06,0.08,10,0.13,10,149.50,
057841,茂林富邦9A購02,"15,000",2,"2,700",0.22,0.22,0.16,0.16,-,0.08,0.10,87,0.18,10,91.80,
057842,緯穎富邦99購02,"594,000",9,"245,970",0.42,0.42,0.36,0.36,-,0.07,0.35,10,0.37,10,661.00,
057843,晶技永豐98購02,0,0,0,--,--,--,--, ,0.0,1.60,499,1.62,30,44.00,
057844,新日興永豐99購01,0,0,0,--,--,--,--, ,0.0,0.13,499,0.14,30,109.00,
057845,晶相光永豐98購03,"520,000",27,"81,400",0.21,0.21,0.13,0.13,-,0.09,0.12,30,0.13,30,80.90,
057846,神達永豐98購01,0,0,0,--,--,--,--, ,0.0,0.24,30,0.25,30,27.75,
057847,聯茂永豐98購01,"91,000",6,"40,490",0.46,0.47,0.43,0.44,-,0.02,0.27,499,0.28,30,118.00,
057848,台表科永豐98購02,0,0,0,--,--,--,--, ,0.0,0.08,499,0.09,30,69.80,
057849,南茂永豐98購02,0,0,0,--,--,--,--, ,0.0,0.23,30,0.24,30,25.50,
05784P,臺股指元大96售18,0,0,0,--,--,--,--, ,0.0,8.00,100,8.50,10,0.00,
057850,上銀兆豐99購02,"25,000",2,"2,000",0.08,0.08,0.08,0.08,-,0.04,0.06,10,0.07,10,219.00,
057851,鴻海國票99購06,"444,000",23,"45,750",0.11,0.11,0.10,0.10,-,0.05,0.08,55,0.13,10,71.10,
057852,國巨國票99購05,"7,000",1,"3,360",0.48,0.48,0.48,0.48,+,0.01,0.28,25,0.38,10,290.50,
057853,旺宏國票99購05,0,0,0,--,--,--,--, ,0.0,0.60,25,0.62,10,27.20,
057854,聯發科國票99購03,"10,000",1,"9,500",0.95,0.95,0.95,0.95,-,0.13,0.95,40,--,0,320.00,
057855,晶技國票99購01,"511,000",14,"1,032,370",2.02,2.12,1.99,2.12,+,0.35,1.77,25,1.87,10,44.00,
057856,聯鈞國票99購03,0,0,0,--,--,--,--, ,0.0,0.69,25,0.79,10,59.00,
057857,牧德國票99購01,"30,000",3,"8,200",0.27,0.28,0.27,0.27,-,0.14,0.26,25,0.27,10,274.50,
