證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
0050,元大台灣50,"33,813,951","17,505","2,652,927,807",80.00,80.40,76.95,77.30,-,3.7,77.25,43,77.30,479,0.00,
0051,元大中型100,"63,300",55,"1,821,530",29.38,29.38,28.05,28.11,-,0.99,28.07,1,28.19,20,0.00,
0052,富邦科技,"222,933",103,"13,458,196",63.00,63.00,58.50,58.80,-,3.7,58.80,4,58.95,1,0.00,
0053,元大電子,"31,000",19,"1,081,270",35.30,35.51,34.02,34.20,-,2.0,34.10,1,34.30,2,0.00,
0054,元大台商50,"65,000",25,"1,287,180",19.87,19.99,19.40,19.67,+,0.08,19.30,22,19.55,2,0.00,
0055,元大MSCI金融,"101,560",80,"1,648,030",16.66,16.66,16.00,16.00,-,0.5,16.00,22,16.05,1,0.00,
0056,元大高股息,"92,824,206","44,641","2,297,360,656",25.10,25.24,24.40,24.41,-,0.88,24.41,264,24.42,7,0.00,
0057,富邦摩台,"31,000",8,"1,591,550",51.95,52.15,50.50,50.50,-,1.8,49.77,20,50.30,10,0.00,
0061,元大寶滬深,"457,950",203,"7,996,815",17.67,17.85,17.25,17.25,-,0.43,17.25,2,17.26,1,0.00,
006203,元大MSCI台灣,"10,000",9,"364,960",37.57,37.57,35.94,35.94,-,0.01,35.65,2,35.80,1,0.00,
006204,永豐臺灣加權,"9,000",7,"443,000",49.52,49.52,48.40,48.40,-,1.75,48.27,50,48.40,49,0.00,
006205,富邦上証,"2,678,218",359,"78,054,250",29.60,29.60,28.80,28.88,-,0.77,28.88,1,28.89,200,0.00,
006206,元大上證50,"198,544",135,"5,971,534",31.00,31.00,29.79,29.82,-,0.68,29.80,2,29.82,99,0.00,
006207,FH滬深,"737,425",95,"16,735,108",23.10,23.10,22.46,22.46,-,0.64,22.45,2,22.46,80,0.00,
006208,富邦台50,"1,615,399",801,"72,607,755",45.90,45.90,44.03,44.10,-,1.78,44.10,6,44.16,2,0.00,
00625K,富邦上証+R,"50,000",2,"339,000",6.78,6.78,6.78,6.78,+,0.03,6.65,5,6.80,5,0.00,
00631L,元大台灣50正2,"17,301,155","5,113","623,499,903",37.03,37.81,34.60,34.63,-,3.01,34.63,36,34.64,31,0.00,
00632R,元大台灣50反1,"560,791,416","22,559","6,690,315,164",11.87,12.22,11.73,12.20,+,0.48,12.20,"4,318",12.21,"7,670",0.00,
00633L,富邦上証正2,"25,707,200","4,839","1,007,023,200",40.00,40.17,38.35,38.35,-,2.3,38.35,53,38.39,1,0.00,
00634R,富邦上証反1,"12,647,000","1,116","77,325,870",6.03,6.20,6.03,6.20,+,0.21,6.18,135,6.20,382,0.00,
00635U,元大S&P黃金,"4,665,623","1,611","102,110,791",22.12,22.12,21.66,21.93,-,0.53,21.93,5,21.94,10,0.00,
00636,國泰中國A50,"1,412,750",473,"28,270,432",20.38,20.38,19.82,19.86,-,0.46,19.85,7,19.86,183,0.00,
00636K,國泰中國A50+U,100,1,657,6.57,6.57,6.57,6.57,+,0.18,6.51,11,6.62,11,0.00,
00637L,元大滬深300正2,"159,507,413","14,947","2,401,443,001",15.30,15.42,14.68,14.68,-,0.92,14.68,769,14.69,5,0.00,
00638R,元大滬深300反1,"8,662,000","1,520","106,999,710",12.25,12.47,12.22,12.47,+,0.37,12.47,73,12.48,284,0.00,
00639,富邦深100,"3,017,370",412,"33,703,298",11.79,11.81,10.95,10.95,-,0.53,10.95,20,10.97,4,0.00,
00640L,富邦日本正2,"3,747,000",764,"45,012,700",12.03,12.25,11.73,12.01,-,0.4,12.00,31,12.01,46,0.00,
00641R,富邦日本反1,"3,109,015",714,"56,536,077",18.30,18.33,17.99,18.30,+,0.42,18.28,5,18.30,9,0.00,
00642U,元大S&P石油,"51,743,761","9,690","568,668,196",10.94,11.13,10.90,10.95,-,0.39,10.95,"1,109",10.96,101,0.00,
00643,群益深証中小,"1,508,500",327,"20,396,619",14.05,14.05,13.20,13.20,-,0.63,13.18,4,13.20,1,0.00,
00643K,群益深証中小+R,0,0,0,--,--,--,--, ,0.0,3.05,2,3.12,2,0.00,
00645,富邦日本,"174,940",55,"2,903,085",16.63,16.71,16.46,16.46,-,0.27,16.46,72,16.66,30,0.00,
00646,元大S&P500,"2,681,851","1,184","62,426,765",23.45,23.50,22.87,22.88,-,0.57,22.87,4,22.88,31,0.00,
00647L,元大S&P500正2,"2,461,000",832,"59,024,720",24.52,24.63,23.20,23.24,-,1.83,23.20,14,23.24,83,0.00,
00648R,元大S&P500反1,"6,742,018","1,456","93,263,693",13.70,14.00,13.68,13.87,+,0.2,13.87,35,13.88,1,0.00,
00650L,FH香港正2,"489,000",104,"10,251,500",21.45,21.45,20.30,20.54,-,1.16,20.54,20,20.62,20,0.00,
00651R,FH香港反1,"2,091,000",317,"19,724,290",9.03,9.55,9.03,9.55,+,0.34,9.55,29,9.56,12,0.00,
00652,富邦印度,"210,164",87,"3,810,408",18.07,18.39,17.87,18.04,-,0.01,18.02,10,18.05,1,0.00,
00653L,富邦印度正2,"1,040,000",388,"18,381,570",18.01,18.20,16.60,17.22,-,0.32,17.22,4,17.23,11,0.00,
00654R,富邦印度反1,"1,673,000",279,"27,860,170",17.25,17.40,16.00,16.84,+,0.34,16.84,17,16.90,20,0.00,
00655L,國泰中國A50正2,"9,849,308","2,201","278,838,718",29.00,29.00,27.69,27.69,-,1.73,27.69,111,27.73,1,0.00,
00656R,國泰中國A50反1,"2,075,000",295,"23,357,860",11.14,11.33,11.12,11.33,+,0.28,11.33,12,11.34,14,0.00,
00657,國泰日經225,"107,000",7,"2,291,030",21.61,21.61,21.40,21.59,+,0.59,21.31,10,21.42,4,0.00,
00657K,國泰日經225+U,100,1,702,7.02,7.02,7.02,7.02,+,0.29,7.01,11,7.20,11,0.00,
00660,元大歐洲50,"114,000",47,"2,083,140",18.49,18.49,18.12,18.14,-,0.63,18.14,1,18.18,22,0.00,
00661,元大日經225,"5,000",5,"111,280",22.34,22.39,22.15,22.15,-,0.32,22.09,20,22.44,20,0.00,
00662,富邦NASDAQ,"327,516",204,"9,438,578",29.04,29.25,27.82,28.45,-,0.48,28.36,1,28.45,1,0.00,
00663L,國泰臺灣加權正2,"428,000",145,"13,727,040",33.52,33.52,30.68,30.75,-,2.57,30.70,27,30.75,206,0.00,
00664R,國泰臺灣加權反1,"7,998,300","1,064","109,392,777",13.44,13.91,13.38,13.87,+,0.52,13.87,214,13.89,34,0.00,
00665L,富邦恒生國企正2,"208,000",66,"4,069,660",20.10,20.10,19.19,19.28,-,1.46,19.27,2,19.28,7,0.00,
00666R,富邦恒生國企反1,"104,000",24,"1,529,440",14.39,14.78,14.39,14.76,+,0.37,14.76,9,14.80,5,0.00,
00668,國泰美國道瓊,"1,220,050",431,"28,724,135",24.04,24.04,22.71,23.20,-,0.56,23.16,4,23.20,7,0.00,
00668K,國泰美國道瓊+U,100,1,777,7.77,7.77,7.77,7.77,+,0.21,7.61,11,7.77,10,0.00,
00669R,國泰美國道瓊反1,"14,460,000","4,307","217,588,570",15.15,15.22,14.80,15.07,+,0.34,15.06,4,15.07,248,0.00,
00670L,富邦NASDAQ正2,"3,618,060","1,268","105,747,717",29.80,30.35,27.80,28.61,-,1.4,28.60,13,28.61,218,0.00,
00671R,富邦NASDAQ反1,"4,830,000","2,419","60,736,880",12.58,12.95,12.48,12.55,-,0.03,12.55,115,12.70,2,0.00,
00672L,元大S&P原油正2,"493,615,256","36,508","2,022,461,267",3.95,4.31,3.75,4.03,-,0.33,4.03,855,4.04,672,0.00,
00673R,元大S&P原油反1,"8,730,114",918,"197,229,496",22.60,22.84,22.31,22.59,+,0.83,22.58,24,22.59,367,0.00,
00674R,元大S&P黃金反1,"791,000",273,"12,788,110",16.06,16.30,16.05,16.16,+,0.4,16.15,20,16.16,163,0.00,
00675L,富邦臺灣加權正2,"1,622,090",460,"22,500,372",14.39,14.48,13.30,13.38,-,1.14,13.37,10,13.38,91,0.00,
00676R,富邦臺灣加權反1,"10,037,000","1,151","74,288,690",7.40,7.55,7.25,7.54,+,0.35,7.53,108,7.54,88,0.00,
00677U,富邦VIX,"606,013,616","46,566","5,464,369,101",8.98,9.28,8.79,9.27,+,1.04,9.26,"11,762",9.27,77,0.00,
00678,群益NBI生技,"349,000",166,"6,801,840",19.80,19.81,19.30,19.35,-,0.46,19.34,5,19.35,2,0.00,
00680L,元大美債20正2,"820,000",269,"27,868,970",34.05,34.45,33.73,34.27,+,3.37,34.25,2,34.27,37,0.00,
00681R,元大美債20反1,"490,000",82,"6,251,360",12.81,12.81,12.70,12.70,-,0.77,12.70,38,12.73,42,0.00,
00682U,元大美元指數,"8,000",7,"155,800",19.47,19.58,19.45,19.46,+,0.14,19.45,10,19.50,2,0.00,
00683L,元大美元指數正2,"83,000",25,"1,648,330",19.77,19.95,19.77,19.95,+,0.5,19.95,6,19.99,10,0.00,
00684R,元大美元指數反1,"12,000",2,"217,680",18.14,18.14,18.14,18.14,-,0.12,18.14,20,18.22,1,0.00,
00685L,群益臺灣加權正2,"215,000",83,"2,630,870",12.53,12.73,11.75,11.80,-,0.94,11.78,10,11.80,98,0.00,
00686R,群益臺灣加權反1,"820,000",131,"6,616,100",7.97,8.22,7.92,8.21,+,0.3,8.21,17,8.22,"1,220",0.00,
00688L,國泰20年美債正2,"67,000",22,"2,311,630",34.71,34.91,34.24,34.72,+,3.28,34.76,1,34.80,4,0.00,
00689R,國泰20年美債反1,"178,000",13,"2,330,860",13.02,13.16,13.02,13.08,-,0.62,13.00,25,13.08,25,0.00,
00690,兆豐藍籌30,"302,250",110,"5,959,570",20.30,20.30,19.45,19.46,-,0.84,19.46,4,19.56,10,0.00,
00691R,兆豐藍籌30反1,"8,000",6,"128,070",15.90,16.34,15.90,16.34,+,0.54,16.14,8,16.34,49,0.00,
00692,富邦公司治理,"6,832,988","2,822","138,147,445",20.70,20.71,19.91,20.01,-,0.69,20.00,22,20.01,110,0.00,
00693U,街口S&P黃豆,"1,929,000",209,"26,341,200",13.51,13.73,13.50,13.60,-,0.12,13.60,84,13.61,175,0.00,
00700,富邦恒生國企,"128,000",17,"2,279,670",17.78,18.47,17.42,17.42,-,0.36,17.42,29,17.75,16,0.00,
00701,國泰股利精選30,"5,055,955","2,135","96,789,311",19.79,19.79,18.86,18.89,-,0.61,18.89,7,18.90,151,0.00,
00702,國泰標普低波高息,"73,000",32,"1,147,600",15.72,15.77,15.71,15.72,+,0.17,15.71,106,15.73,1,0.00,
00703,台新MSCI中國,"288,100",40,"5,434,448",19.10,19.10,18.66,18.67,-,0.3,18.60,1,18.61,20,0.00,
00706L,元大S&P日圓正2,"149,000",47,"2,640,250",17.76,17.89,17.61,17.89,-,0.08,17.73,10,17.89,7,0.00,
00707R,元大S&P日圓反1,"37,000",11,"715,840",19.31,19.40,19.30,19.40,+,0.36,19.28,10,19.35,60,0.00,
00708L,元大S&P黃金正2,"16,276,000","3,192","367,888,280",22.91,22.92,22.18,22.69,-,1.23,22.68,38,22.69,66,0.00,
00709,富邦歐洲,"169,585",45,"2,513,550",14.98,14.98,14.70,14.72,-,0.83,14.70,1,14.72,45,0.00,
00710B,FH彭博高收益債,"379,120",149,"6,935,879",18.30,18.58,18.00,18.12,-,0.18,18.10,8,18.12,2,0.00,
00711B,FH彭博新興債,"527,000",25,"10,815,280",19.63,20.65,19.63,20.60,-,0.26,20.50,8,20.60,1,0.00,
00712,FH富時不動產,"1,114,000",682,"14,431,060",13.48,13.53,12.81,12.95,+,0.03,12.95,23,12.96,5,0.00,
00713,元大台灣高息低波,"279,498",213,"7,781,953",28.24,28.63,27.50,27.50,-,0.73,27.50,5,27.51,20,0.00,
00714,群益道瓊美國地產,"63,000",31,"1,149,320",18.20,18.27,18.20,18.26,+,0.15,18.21,2,18.26,29,0.00,
00715L,街口布蘭特油正2,"43,907,300","6,046","255,520,214",5.52,6.06,5.52,5.79,-,0.86,5.78,199,5.79,28,0.00,
00717,富邦美國特別股,"3,421,723","1,028","55,508,816",16.49,16.49,16.13,16.14,-,0.25,16.13,15,16.14,71,0.00,
00728,第一金工業30,"1,369,207",204,"23,205,767",17.27,17.27,16.55,16.55,-,0.76,16.50,11,16.55,18,0.00,
00730,富邦臺灣優質高息,"1,403,638",458,"21,432,042",15.56,15.56,15.00,15.00,-,0.5,15.00,35,15.01,1,0.00,
00731,FH富時高息低波,"434,000",121,"17,965,890",41.95,42.00,40.77,40.84,-,1.33,40.77,20,40.84,22,0.00,
00732,國泰RMB短期報酬,"100,000",2,"3,870,000",38.70,38.70,38.70,38.70,+,0.22,38.51,1,39.39,1,0.00,
00733,富邦臺灣中小,"279,630",41,"4,707,402",17.42,17.42,16.50,16.50,-,0.73,16.48,1,16.50,2,0.00,
00735,國泰臺韓科技,"193,000",20,"3,460,480",18.15,18.17,17.70,17.70,-,0.29,17.60,15,17.70,27,0.00,
00736,國泰新興市場,"131,000",23,"2,091,030",16.10,16.14,15.85,15.85,+,0.51,15.80,1,15.83,20,0.00,
00737,國泰AI+Robo,"1,058,588",426,"18,168,959",17.66,17.66,16.98,16.98,-,0.64,16.95,26,16.98,6,0.00,
00738U,元大道瓊白銀,"4,962,100",746,"80,722,290",16.47,16.47,16.11,16.30,-,1.2,16.30,88,16.31,257,0.00,
00739,元大MSCI A股,"538,020",147,"11,033,322",20.89,20.89,20.21,20.21,-,0.68,20.21,88,20.28,1,0.00,
00742,新光內需收益,"20,000",7,"371,850",18.97,18.97,18.50,18.50,-,0.03,18.37,25,18.40,2,0.00,
00743,國泰中國A150,"311,000",27,"6,432,270",21.19,21.19,20.51,20.51,-,0.59,20.40,33,20.42,20,0.00,
00752,中信中國50,"2,341,284",922,"50,974,424",21.90,21.98,21.61,21.61,-,0.24,21.60,87,21.61,47,0.00,
00753L,中信中國50正2,"148,000",51,"3,029,480",21.00,21.00,20.13,20.13,-,0.87,20.08,1,20.12,3,0.00,
00757,統一FANG+,"317,000",66,"6,665,220",21.29,21.30,20.75,20.75,-,1.04,20.76,3,21.01,3,0.00,
00762,元大全球AI,"553,200",333,"11,382,936",21.00,21.00,20.00,20.00,-,0.55,19.98,6,20.00,9,0.00,
00763U,街口道瓊銅,"13,000",9,"217,160",16.70,16.79,16.52,16.52,+,0.09,16.47,1,16.59,1,0.00,
00766L,台新MSCI中國正2,"750,000",107,"6,033,520",8.40,8.40,7.89,7.89,-,0.41,7.88,3,7.89,37,0.00,
00767,FH美國金融股,"4,000",4,"82,070",21.10,21.10,18.77,18.77,+,0.55,18.22,2,18.77,1,0.00,
00770,國泰北美科技,"50,000",21,"1,022,030",20.00,21.11,20.00,20.91,+,0.43,20.69,10,20.91,3,0.00,
00771,元大US高息特別股,"292,720",141,"4,821,644",16.85,17.00,16.35,16.42,-,0.38,16.42,3,16.49,5,0.00,
00774B,新光中國政金綠債,"2,000",2,"81,520",40.76,40.76,40.76,40.76,-,0.14,40.90,30,40.97,1,0.00,
00774C,新光中政金綠債+R,0,0,0,--,--,--,--, ,0.0,9.34,25,9.44,10,0.00,
00775B,新光投等債15+,"5,000",3,"214,970",42.77,43.33,42.77,43.33,+,1.37,42.94,5,44.04,5,0.00,
00776,新光ICE美國權值,"1,000",1,"18,500",18.50,18.50,18.50,18.50,+,0.57,18.12,5,18.50,2,0.00,
00783,富邦中証500,"1,172,000",54,"21,463,640",18.50,18.50,18.15,18.16,-,0.5,18.15,25,18.16,6,0.00,
008201,BP上證50,0,0,0,--,--,--,--, ,0.0,92.70,1,101.65,2,0.00,
00830,國泰費城半導體,"2,354,479",719,"32,379,183",13.80,13.91,13.39,13.79,+,0.14,13.75,4,13.79,15,0.00,
00850,元大臺灣ESG永續,"8,983,372","4,472","176,609,783",20.04,20.04,19.33,19.35,-,0.69,19.35,50,19.36,1,0.00,
00851,台新全球AI,"235,000",43,"4,398,470",18.88,18.88,18.58,18.72,+,0.33,18.68,60,18.74,55,0.00,
00852L,國泰美國道瓊正2,"28,683,000","2,954","255,441,260",9.10,9.16,8.75,8.77,-,0.83,8.77,37,8.79,12,0.00,
00861,元大全球未來通訊,"9,016,252","3,773","158,003,948",17.81,17.82,17.38,17.50,-,0.3,17.45,17,17.50,83,0.00,
00865B,國泰US短期公債,"13,000",4,"513,960",39.79,39.79,39.48,39.67,-,0.14,39.45,6,39.60,2,0.00,
00866,新光Shiller CAPE,"48,000",9,"757,440",15.78,15.78,15.78,15.78,+,0.12,15.77,30,16.01,10,0.00,
01001T,土銀富邦R1,"263,000",35,"4,304,770",16.53,16.53,16.35,16.35,-,0.02,16.35,30,16.38,2,0.00,
01002T,土銀國泰R1,"1,485,188",136,"25,767,570",17.47,17.50,17.10,17.30,-,0.17,17.30,10,17.35,1,0.00,
01003T,兆豐新光R1,"143,000",46,"2,671,900",18.60,18.70,18.60,18.65,+,0.25,18.65,6,18.67,3,0.00,
01004T,土銀富邦R2,"131,000",29,"1,871,440",14.38,14.40,14.21,14.26,-,0.06,14.30,20,14.33,3,0.00,
01007T,兆豐國泰R2,"413,000",49,"7,138,400",17.40,17.40,17.25,17.40,-,0.1,17.40,41,17.41,3,0.00,
01009T,王道圓滿R1,"176,000",19,"1,679,550",9.64,9.64,9.53,9.54, ,0.0,9.54,7,9.61,1,0.00,
01010T,京城樂富R1,"77,000",24,"769,260",10.05,10.05,9.97,10.00, ,0.0,9.99,1,10.00,73,0.00,
020000,富邦特選蘋果N,"295,000",46,"1,348,840",4.63,4.65,4.46,4.46,-,0.21,4.42,100,4.44,100,0.00,
020002,元富新中國N,0,0,0,--,--,--,--, ,0.0,13.33,499,13.35,355,0.00,
020004,兆豐電菁英30N,0,0,0,--,--,--,--, ,0.0,19.11,499,19.12,449,0.00,
020005,永豐外資50N,0,0,0,--,--,--,--, ,0.0,18.51,499,18.53,499,0.00,
020006,永昌中小300N,0,0,0,--,--,--,--, ,0.0,17.36,305,17.37,314,0.00,
020007,凱基臺灣500N,0,0,0,--,--,--,--, ,0.0,18.23,104,18.40,100,0.00,
020008,元大特股高息N,"176,000",47,"1,750,690",10.01,10.02,9.88,9.91,-,0.17,9.91,499,9.92,500,0.00,
020011,統一微波高息20N,"10,000",1,"44,000",4.40,4.40,4.40,4.40,-,0.06,4.32,394,4.33,396,0.00,
020012,富邦行動通訊N,"2,217,000",170,"9,181,820",4.16,4.22,4.01,4.02,-,0.17,4.02,17,4.03,100,0.00,
03004P,鴻海凱基93售05,0,0,0,--,--,--,--, ,0.0,0.01,100,0.10,10,0.00,
03005P,華新科凱基93售04,"7,000",2,870,0.06,0.15,0.06,0.15,+,0.01,0.15,100,0.16,10,0.00,
03005X,元展05,0,0,0,--,--,--,--, ,0.0,25.60,10,25.90,10,29.00,
03006P,華新科凱基93售05,0,0,0,--,--,--,--, ,0.0,0.01,100,0.10,10,0.00,
03006X,元展06,0,0,0,--,--,--,--, ,0.0,20.60,10,20.90,10,38.05,
03007X,元展07,0,0,0,--,--,--,--, ,0.0,17.00,50,17.20,10,19.05,
03009X,元展09,"29,000",6,"337,400",12.10,12.10,11.40,11.40,-,1.6,10.90,10,11.30,10,17.30,
03010X,元展10,"3,000",3,"73,000",25.20,25.20,23.40,23.40,-,0.2,23.30,10,23.60,10,71.10,
03012X,元展12,"4,000",2,"32,200",8.35,8.35,7.95,7.95,-,0.55,7.75,10,7.85,10,35.80,
03013X,元展13,0,0,0,--,--,--,--, ,0.0,8.70,10,8.85,10,12.55,
03014X,元展14,0,0,0,--,--,--,--, ,0.0,19.40,10,19.80,10,20.10,
03015X,元展15,"20,000",1,"616,000",30.80,30.80,30.80,30.80,-,0.4,30.80,10,31.10,10,25.20,
03016P,臺股指中信94售01,"378,000",25,"283,240",0.60,0.81,0.58,0.80,+,0.28,0.60,45,0.80,20,0.00,
03016X,元展16,"2,000",1,"4,340",2.17,2.17,2.17,2.17,+,0.09,2.07,10,2.17,10,7.93,
03017X,元展17,0,0,0,--,--,--,--, ,0.0,3.24,50,3.30,10,10.70,
03019X,元展19,0,0,0,--,--,--,--, ,0.0,4.97,10,5.05,10,18.15,
03020X,元展20,0,0,0,--,--,--,--, ,0.0,5.50,10,5.65,10,21.20,
03021P,T50反1凱基94售01,"467,000",20,"140,390",0.30,0.32,0.20,0.20,-,0.12,0.10,150,0.20,30,0.00,
03022X,富展01,"20,000",3,"246,500",12.50,12.60,12.10,12.10,-,1.2,11.80,10,12.10,10,71.10,
03025P,群創凱基93售07,0,0,0,--,--,--,--, ,0.0,1.76,57,1.82,10,0.00,
03025X,元展22,0,0,0,--,--,--,--, ,0.0,26.10,495,26.60,10,77.30,
03026P,群創凱基93售08,0,0,0,--,--,--,--, ,0.0,1.16,87,1.20,10,0.00,
03026X,元展23,0,0,0,--,--,--,--, ,0.0,4.37,30,4.47,10,17.25,
03027P,康控凱基93售01,0,0,0,--,--,--,--, ,0.0,1.77,57,--,0,0.00,
03027X,元展24,0,0,0,--,--,--,--, ,0.0,7.90,30,8.40,10,28.88,
03028X,元展25,0,0,0,--,--,--,--, ,0.0,20.50,10,20.90,10,58.80,
03029X,元展26,0,0,0,--,--,--,--, ,0.0,13.40,10,13.70,10,36.45,
03033P,台積電中信95售05,"4,025,000",170,"639,830",0.12,0.21,0.10,0.21,+,0.1,0.20,38,0.21,11,0.00,
03033X,元展30,"43,000",15,"196,350",4.82,4.86,4.47,4.54,+,0.34,4.37,10,4.46,10,187.00,
03035X,元展32,"2,000",1,"11,900",5.95,5.95,5.95,5.95,+,0.15,5.85,10,6.00,10,23.25,
03038P,智邦兆豐93售03,0,0,0,--,--,--,--, ,0.0,--,0,0.02,10,0.00,
03038X,元展35,"6,000",2,"38,100",6.45,6.45,6.30,6.30,X,0.0,6.20,10,6.30,10,52.60,
03039P,欣興兆豐93售03,0,0,0,--,--,--,--, ,0.0,1.21,10,1.23,10,0.00,
03039X,元展36,"60,000",2,"155,500",2.70,2.70,2.57,2.57,-,0.41,2.57,10,2.63,10,185.00,
03046X,元展43,0,0,0,--,--,--,--, ,0.0,--,0,--,0,57.30,
03047P,台光電凱基93售02,0,0,0,--,--,--,--, ,0.0,0.04,100,0.14,10,0.00,
03047X,元展44,0,0,0,--,--,--,--, ,0.0,--,0,4.85,10,10.90,
03048P,美律凱基93售02,0,0,0,--,--,--,--, ,0.0,0.27,100,0.37,10,0.00,
03049X,元展46,"4,000",4,"15,290",3.91,3.91,3.68,3.68,-,0.04,3.59,100,3.63,10,48.00,
03050X,元展47,"1,956,000",62,"2,041,340",1.17,1.17,0.99,1.00,-,0.4,0.99,100,1.02,10,35.90,
03052X,元展49,"2,000",1,"31,200",15.60,15.60,15.60,15.60,+,1.0,14.80,10,14.90,10,78.20,
03059X,元展54,0,0,0,--,--,--,--, ,0.0,16.50,10,16.70,10,22.15,
03060X,元展55,0,0,0,--,--,--,--, ,0.0,10.20,1,10.60,10,69.20,
03063X,元展58,0,0,0,--,--,--,--, ,0.0,--,0,--,0,"3,725.00",
03064P,元油2X中信94售02,0,0,0,--,--,--,--, ,0.0,4.94,30,5.85,2,0.00,
03064X,元展59,"8,000",3,"32,280",4.16,4.16,3.81,3.81,-,0.16,3.57,100,3.62,10,9.86,
03071X,元展66,0,0,0,--,--,--,--, ,0.0,25.00,10,26.00,10,320.00,
03074X,元展69,0,0,0,--,--,--,--, ,0.0,9.15,10,9.25,10,12.55,
03075X,元展70,0,0,0,--,--,--,--, ,0.0,5.35,10,5.40,10,8.03,
03077X,元展72,"5,000",1,"25,500",5.10,5.10,5.10,5.10,X,0.0,--,0,5.10,10,31.55,
03078X,元展73,0,0,0,--,--,--,--, ,0.0,14.80,10,15.80,10,153.50,
03083P,華通凱基93售02,0,0,0,--,--,--,--, ,0.0,--,0,0.01,40,0.00,
03085P,美律凱基93售03,"10,000",1,"9,300",0.93,0.93,0.93,0.93,-,0.42,1.07,94,1.17,10,0.00,
03086P,美律凱基93售04,0,0,0,--,--,--,--, ,0.0,0.01,100,0.11,10,0.00,
03087P,矽創凱基93售02,"10,000",1,"3,800",0.38,0.38,0.38,0.38,X,0.0,0.66,100,0.76,10,0.00,
03088P,世紀鋼凱基93售04,0,0,0,--,--,--,--, ,0.0,0.05,100,0.10,10,0.00,
03090X,元展84,0,0,0,--,--,--,--, ,0.0,7.85,10,7.95,10,34.90,
03091X,元展85,0,0,0,--,--,--,--, ,0.0,9.65,10,9.80,10,34.90,
03093X,永豐金元大61展01,0,0,0,--,--,--,--, ,0.0,8.85,50,9.05,10,10.70,
03094X,大立光元大68展08,"8,000",6,"125,600",16.50,16.50,14.70,14.70,-,2.4,13.80,3,--,0,"3,725.00",
03098P,技嘉凱基93售01,0,0,0,--,--,--,--, ,0.0,0.26,100,0.27,10,0.00,
03100P,緯創凱基93售01,0,0,0,--,--,--,--, ,0.0,0.04,100,0.14,10,0.00,
03101P,泰鼎凱基93售01,0,0,0,--,--,--,--, ,0.0,0.03,100,0.10,10,0.00,
03102P,瑞儀凱基93售03,0,0,0,--,--,--,--, ,0.0,0.91,100,0.93,10,0.00,
03103P,超眾凱基93售02,"10,000",1,"3,800",0.38,0.38,0.38,0.38,+,0.06,0.38,90,0.48,10,0.00,
03108P,旺宏國泰93售02,0,0,0,--,--,--,--, ,0.0,0.09,10,--,0,0.00,
03109P,聯茂國泰93售01,0,0,0,--,--,--,--, ,0.0,0.03,10,0.11,40,0.00,
03110P,台表科國泰93售02,0,0,0,--,--,--,--, ,0.0,0.21,499,--,0,0.00,
03111P,元油2X富邦97售01,0,0,0,--,--,--,--, ,0.0,2.38,10,--,0,0.00,
03127P,亞泥凱基93售01,0,0,0,--,--,--,--, ,0.0,0.17,100,0.18,10,0.00,
03128P,華通凱基93售04,"130,000",2,"2,600",0.02,0.02,0.02,0.02, ,0.0,0.02,100,0.09,10,0.00,
03129P,廣宇凱基93售01,0,0,0,--,--,--,--, ,0.0,1.21,83,1.27,10,0.00,
03135P,健策凱基93售03,0,0,0,--,--,--,--, ,0.0,0.01,100,0.11,10,0.00,
03136P,台表科凱基93售03,0,0,0,--,--,--,--, ,0.0,0.09,100,0.19,10,0.00,
03147P,台積電國泰93售02,0,0,0,--,--,--,--, ,0.0,0.03,499,--,0,0.00,
03149P,超眾國泰93售04,0,0,0,--,--,--,--, ,0.0,1.24,499,--,0,0.00,
03152P,台光電凱基93售05,0,0,0,--,--,--,--, ,0.0,0.46,100,0.56,10,0.00,
03154P,瑞儀凱基93售04,"30,000",3,"13,000",0.43,0.44,0.43,0.44,X,0.0,0.43,100,0.44,10,0.00,
03162P,華邦電中信96售02,0,0,0,--,--,--,--, ,0.0,1.96,30,1.99,10,0.00,
03171P,元油2X國票93售03,0,0,0,--,--,--,--, ,0.0,3.97,25,--,0,0.00,
03177P,大立光統一93售01,"217,000",11,"284,640",0.22,1.45,0.22,1.45,+,0.06,1.39,10,1.49,15,0.00,
03179P,力成統一93售01,0,0,0,--,--,--,--, ,0.0,0.11,108,0.21,10,0.00,
03180P,華邦電國泰93售01,0,0,0,--,--,--,--, ,0.0,3.49,499,--,0,0.00,
03181P,道瓊指中信96售01,"250,000",35,"291,160",0.75,2.00,0.73,1.50,+,0.81,1.35,116,1.50,13,0.00,
03183P,玉晶光中信93售01,"389,000",4,"4,390",0.01,0.02,0.01,0.02, ,0.0,0.02,30,0.03,20,0.00,
03197P,欣興富邦93售02,"132,000",5,"90,780",0.54,0.96,0.54,0.96,+,0.27,0.90,10,0.97,10,0.00,
03202P,揚明光群益94售01,0,0,0,--,--,--,--, ,0.0,1.70,25,--,0,0.00,
03237P,玉晶光凱基94售01,"401,000",41,"104,450",0.30,0.45,0.22,0.45,+,0.1,0.38,100,--,0,0.00,
